Recency,Frequency,Monetary
290,1,560.47
98,1,305.28000000000003
30,2,629.31
56,9,3095.8
13,4,1789.41
63,2,656.6800000000001
211,1,348.15000000000003
77,3,1201.96
24,3,271.40000000000003
249,1,183.4
253,1,307.53
71,1,248.61
190,1,346.98
12,4,1105.59
372,1,205.86
23,2,430.90000000000003
81,1,115.46000000000001
9,2,344.0
191,1,228.8
266,1,177.15
129,1,919.61
0,4,728.02
3,5,220.10000000000002
178,1,58.08
125,9,3595.48
3,2,303.75
157,2,272.38
27,1,319.82
70,5,459.83
20,12,1718.4
70,1,74.39999999999999
98,1,207.35999999999999
233,1,101.19
39,1,243.94
2,6,1098.48
132,1,59.5
43,4,1524.07
372,1,350.06
59,2,769.79
30,7,1456.8700000000001
11,4,2225.18
137,1,485.19
21,8,984.91
19,5,1138.41
238,1,30.599999999999998
268,1,254.73
93,2,922.39
89,3,3756.33
4,8,2056.29
77,1,259.17
93,1,64.0
22,3,1039.3
261,1,77.3
273,2,109.8
85,4,1740.63
196,1,3096.0
55,5,2567.13
10,8,3603.29
21,6,962.39
15,7,5055.79
107,3,422.47
84,5,2385.8
18,1,307.09
332,1,110.95
39,4,614.77
25,1,228.91
9,4,712.8000000000001
28,12,3495.87
13,4,1676.06
295,1,1250.3700000000001
5,1,486.22
32,4,971.76
48,4,1721.57
94,4,1201.06
8,4,1371.25
21,1,91.8
312,1,112.75
121,4,1644.99
45,2,1021.48
282,1,414.7
18,4,779.33
35,4,1291.54
63,2,712.88
26,1,108.81
21,3,447.61
3,2,353.65
15,3,2738.82
45,1,481.49
64,1,282.45
44,1,121.18
7,9,3957.78
14,10,1615.45
267,1,71.4
39,3,1554.8400000000001
336,1,236.02
10,1,114.60000000000001
18,2,260.68
94,2,911.94
60,1,112.08
135,1,60.7
10,4,1797.78
9,6,3386.04
18,4,870.09
9,4,869.46
14,2,250.26000000000002
58,5,1193.17
93,1,353.48
9,3,1095.42
19,3,779.33
56,5,1518.43
267,1,333.74
121,3,133.62
126,1,62.63999999999999
77,4,819.2900000000001
239,2,844.86
199,2,163.20000000000002
59,2,2147.85
272,1,108.21000000000001
201,1,257.7
80,1,358.0
225,1,160.95
12,7,1327.75
73,2,605.12
211,1,1031.07
24,2,727.27
16,4,680.83
261,1,329.56
95,4,648.7
111,3,270.40000000000003
202,1,585.12
92,1,121.74000000000001
50,1,430.5
17,6,1896.32
17,4,501.12
124,2,465.68
91,3,711.41
156,2,1030.4
8,2,390.66
11,3,672.83
61,1,283.18
60,1,557.62
268,2,944.1
262,1,200.29
52,5,2092.66
10,12,3763.06
17,10,3113.86
365,1,590.0
36,1,192.77
30,2,276.56
112,1,138.98
63,2,590.9300000000001
15,4,258.4
40,1,542.73
77,1,126.30000000000001
121,3,798.46
17,3,1089.09
59,2,93.66
330,1,196.15
22,4,2709.12
155,1,361.11
38,2,578.9399999999999
189,2,873.74
359,1,201.20000000000002
136,1,87.4
7,4,2089.85
0,1,360.0
267,1,142.5
168,1,365.29
103,4,600.19
154,1,63.75
350,1,300.42
3,10,2000.86
119,1,15.0
22,3,1369.71
6,5,1456.79
27,3,1083.63
3,2,598.57
21,5,1555.32
1,3,593.51
65,6,2140.92
0,3,640.76
77,4,1475.2
71,2,567.36
16,1,199.48000000000002
2,5,787.85
81,1,675.3
38,8,3617.57
315,1,1308.48
31,2,740.4
92,3,1140.93
13,1,350.9
81,3,3502.32
76,1,795.12
157,1,382.82
200,1,860.12
260,1,775.85
177,1,253.93
67,3,2511.69
287,1,327.6
69,1,291.36
63,1,233.76
10,1,197.32
15,2,810.72
65,1,323.94
59,1,339.28
70,1,743.53
121,1,674.7
79,1,768.24
256,1,609.4
268,1,389.03
63,1,381.26
8,4,3085.4900000000002
17,2,892.5
70,1,0.0
33,2,2191.22
49,1,56.160000000000004
256,2,573.4
365,1,213.75
371,1,721.32
89,1,328.64
60,3,3312.25
88,1,772.9
98,3,869.76
25,3,572.56
31,6,3626.81
280,1,222.99
30,7,4122.28
329,1,534.57
130,2,627.15
10,3,797.96
74,1,544.08
203,1,59.8
1,8,2336.3
184,1,307.72
28,2,1325.29
72,5,1539.18
191,1,457.34
126,2,621.23
17,1,75.0
0,2,252.49
203,2,557.45
23,5,988.91
106,1,213.55
133,3,1390.5
43,2,712.5
4,2,640.83
63,1,221.06
149,2,140.35
39,2,1823.21
63,1,2601.55
107,3,1624.21
0,10,3558.32
18,3,582.6
9,1,201.78
10,4,1006.8
18,2,652.07
66,2,1269.1
73,2,534.24
4,7,3794.4900000000002
1,1,196.89
13,7,3408.06
254,1,283.71
91,1,296.64
22,3,1104.81
16,6,3460.9900000000002
23,1,291.88
26,6,2043.7199999999998
25,5,2838.56
258,2,590.0
165,2,356.97999999999996
24,2,1008.35
17,6,1737.8200000000002
28,2,183.44
38,3,1445.0
252,1,143.25
57,1,674.68
183,1,297.95
10,2,1071.91
98,2,165.0
0,4,2501.84
60,2,417.54
235,1,226.84
190,4,1431.78
178,2,1092.77
37,6,1441.53
200,2,291.0
45,5,1781.06
231,1,184.64
65,1,140.34
240,1,313.8
232,1,454.24
77,3,1122.41
57,3,575.4
104,4,449.52
51,10,1215.82
135,3,1269.84
274,2,498.63
311,1,316.26000000000005
7,5,1990.1200000000001
10,2,617.93
282,2,321.05
17,5,1146.96
22,3,1136.77
287,1,1314.82
16,3,292.0
70,1,216.85
63,1,295.93
72,4,3522.88
315,2,452.82
2,4,2479.16
243,1,110.97
8,6,964.72
0,4,1785.16
260,1,251.21
126,1,205.1
73,1,152.20000000000002
72,4,891.12
20,3,1389.41
59,3,2109.07
85,1,627.16
77,1,110.80000000000001
58,6,2967.75
0,3,1070.47
29,1,125.80000000000001
32,5,3757.98
40,5,680.1800000000001
14,2,628.78
33,7,2218.61
78,2,307.76
204,2,483.8
33,1,210.31
182,3,269.09
0,7,3444.39
42,7,1280.85
85,3,631.34
39,2,276.06
11,3,621.09
95,2,678.16
25,7,918.2
318,1,91.80000000000001
65,12,3539.53
73,4,4098.88
27,2,584.06
5,4,594.52
6,1,171.42000000000002
215,1,141.85999999999999
81,3,1799.33
83,2,777.53
353,2,1174.03
18,2,240.22
40,2,856.84
172,1,187.05
16,2,337.12
242,1,239.49
12,12,2088.94
205,1,1384.25
49,2,290.25
22,5,732.0699999999999
24,4,1658.3
14,2,467.04
308,1,118.0
155,1,781.03
306,1,142.4
63,1,347.0
15,9,2449.92
14,2,379.65
10,6,1976.12
64,3,1117.13
35,4,247.95999999999998
107,5,1965.0800000000002
52,1,396.97
5,2,664.11
46,1,147.29
311,1,219.52
44,2,693.32
64,1,428.89
25,1,164.34
28,3,276.75
39,1,675.51
11,7,1065.88
88,3,1140.8
23,4,1585.46
318,1,399.99
39,3,544.18
173,1,177.34
116,1,213.85
30,5,717.79
252,1,257.23
58,5,1624.02
4,7,2003.76
99,11,3021.77
24,5,2114.68
32,5,1547.3600000000001
67,1,1071.03
36,5,941.62
51,3,803.05
15,1,122.64
73,1,1033.34
215,1,312.28
30,3,519.44
15,4,2597.52
119,1,252.1
9,4,1640.22
256,2,346.6
16,6,1805.74
39,1,79.2
45,3,1095.08
42,6,2707.33
113,2,932.97
164,2,379.65
10,2,382.14
9,5,2421.47
205,2,1544.25
85,3,862.71
178,1,189.47
59,3,84.65
148,1,299.05
50,2,218.55
74,1,349.7
300,2,124.26
18,2,387.44
150,2,486.82000000000005
151,1,232.6
0,4,2199.01
17,4,827.83
186,1,59.5
285,1,62.13
2,7,3119.44
182,1,72.0
62,1,910.0
58,1,172.25
24,3,1473.3700000000001
38,1,151.29999999999998
154,1,308.58000000000004
25,10,2248.63
317,1,99.5
4,9,2295.31
7,3,711.86
302,1,330.79
266,2,806.41
270,1,283.33
31,1,180.48
218,2,252.06
246,1,228.84
280,5,1051.99
268,1,138.28
31,6,1432.26
245,2,306.55
14,5,1041.68
116,4,799.9
35,1,524.14
131,3,2369.16
216,1,199.85000000000002
49,8,1882.36
38,2,1079.6599999999999
28,2,333.48
36,6,1016.14
135,2,752.6
218,2,610.59
27,1,491.86
24,4,2802.69
4,2,728.1
199,1,339.59999999999997
17,1,216.9
240,1,350.75
71,3,666.33
16,12,3079.27
2,7,1340.1499999999999
94,2,1080.52
161,1,291.54
373,1,79.6
95,5,948.25
53,5,1647.26
287,1,296.25
123,6,1175.38
287,1,741.26
151,2,282.59999999999997
3,9,2101.39
11,7,3190.55
32,2,659.4100000000001
53,2,286.79
49,2,1070.65
218,1,0.0
62,1,1714.96
70,3,1516.42
1,10,2771.87
63,4,2631.7
33,3,1122.63
81,1,345.0
102,1,178.7
6,2,360.01
250,1,127.84
12,6,908.86
9,11,2462.79
366,1,230.39999999999998
75,2,309.04
3,1,348.8
127,2,1210.08
65,2,195.55
116,2,688.86
309,1,558.32
66,1,324.8
138,3,4179.42
254,1,277.07
30,7,2588.39
51,2,924.6
63,1,256.38
366,1,112.6
5,5,1747.66
304,1,155.05
28,2,827.51
183,2,519.75
41,3,485.0
39,4,1155.41
91,2,1562.12
21,4,3654.91
23,2,485.95
28,2,328.98
301,3,1140.35
144,2,385.64
5,2,632.0
18,2,957.66
32,5,1698.94
175,1,179.55
57,3,409.8
21,1,209.49
15,6,2198.45
18,1,40.949999999999996
158,1,383.85
24,4,834.57
211,2,266.59000000000003
5,4,674.82
252,1,85.0
58,9,3385.62
10,1,361.62
64,1,312.98
24,3,853.46
91,3,1255.0
51,2,1537.95
128,1,1586.81
95,3,2651.46
56,1,1056.94
168,3,367.15
56,1,216.17
325,1,201.16
0,5,1240.0
17,8,2187.31
247,1,299.56
57,4,501.56
73,1,145.67000000000002
30,3,1005.09
6,2,3192.54
122,4,3083.65
1,8,2751.25
119,3,381.7
357,1,540.45
53,5,1786.79
63,1,122.7
85,1,117.24
54,1,1271.57
20,13,3219.77
2,5,1131.28
10,5,2572.85
6,5,781.3000000000001
188,2,506.8
70,1,243.56
203,1,349.55
119,2,595.67
92,1,416.90000000000003
0,10,1860.8600000000001
26,4,632.97
297,1,821.1
23,3,537.11
27,4,2588.12
49,1,311.16
325,1,155.93
15,2,388.52
182,3,740.95
71,5,2867.2
36,2,332.64
79,4,2297.05
56,9,2580.91
11,2,613.95
49,2,272.04
49,2,1212.8400000000001
58,2,314.15999999999997
351,1,172.25
53,1,351.13
1,6,1696.58
92,4,616.65
22,1,223.85000000000002
74,1,348.99
10,4,464.57
168,2,802.8499999999999
57,2,337.34
95,2,1230.93
294,1,307.4
108,2,608.7900000000001
263,1,922.1
179,1,361.28
168,1,158.85
34,1,71.66
22,3,556.75
16,4,839.14
21,5,4912.41
78,3,561.5699999999999
64,1,90.6
360,1,102.0
2,6,2427.32
10,4,728.56
175,3,674.45
217,2,3246.09
6,7,3515.68
1,2,378.59
153,2,322.96
4,5,1019.27
78,3,594.04
20,2,230.22
21,2,169.55
307,4,664.54
145,1,80.7
18,8,2702.2200000000003
70,2,190.25
286,1,264.7
48,1,413.59000000000003
30,6,2438.19
206,1,357.98
14,2,196.79000000000002
72,1,869.87
59,1,200.14
38,4,1861.31
29,12,2600.88
26,5,488.03
16,1,320.46
19,6,4098.8
65,2,1266.08
212,1,311.3
11,6,846.54
29,1,76.8
42,9,3411.76
3,6,2274.14
14,5,1383.49
9,12,3867.6600000000003
210,1,633.71
45,3,2043.0800000000002
133,2,529.73
42,7,4582.64
9,5,2874.72
115,3,962.19
197,2,685.9300000000001
277,1,328.8
109,3,473.02
76,1,505.18
52,1,917.34
161,4,4278.46
46,3,1398.96
16,2,642.8
154,3,631.9
224,1,440.0
6,2,584.07
121,2,327.7
60,1,104.82
62,2,467.66
17,8,2358.84
1,11,2929.84
21,3,509.09
28,5,1428.02
284,1,626.65
175,2,147.20000000000002
77,3,1554.48
32,1,152.2
40,12,3491.64
265,1,141.41
26,4,646.42
108,4,1659.75
283,1,151.59
8,5,1299.31
304,1,386.33
16,4,5552.07
31,2,746.36
19,1,225.36
123,2,260.25
64,1,92.46
105,1,725.6400000000001
266,1,183.6
28,5,1172.46
266,1,152.55
63,2,374.7
319,1,265.85
3,8,1291.34
31,1,139.54
4,3,942.26
128,1,118.67
40,5,499.41999999999996
101,6,1049.37
124,1,375.1
32,1,45.599999999999994
301,2,891.77
364,1,182.25
3,9,1002.9
2,1,191.47
56,1,158.75
324,1,76.32000000000001
11,1,433.86
36,1,147.35
15,11,3092.9700000000003
137,1,191.95000000000002
4,5,1060.33
154,2,216.20999999999998
238,1,1260.33
51,7,2688.48
30,2,594.16
72,1,80.2
13,4,688.6
22,7,2774.17
3,4,1504.77
273,2,386.53
19,5,1382.74
143,1,90.0
3,4,2740.3
83,1,419.58000000000004
10,3,2720.63
7,3,643.6300000000001
122,3,709.71
60,2,637.5
1,5,1123.8600000000001
318,1,480.91
1,11,3580.13
129,3,592.89
1,2,965.8800000000001
45,1,415.82
3,2,920.05
2,4,880.2800000000001
372,1,311.81
133,1,115.8
46,4,3148.2
8,5,2949.57
77,2,468.4
233,1,157.2
220,1,259.43
35,2,658.64
74,2,611.09
238,2,1345.62
265,1,118.75
19,2,392.44
39,1,507.66
19,11,4613.2699999999995
215,3,1097.6200000000001
173,2,289.36
86,4,2445.91
70,2,1631.77
275,1,120.44
38,4,562.59
97,1,363.79
10,4,450.84
32,1,134.46
59,3,3108.06
296,4,574.0
85,4,544.01
8,7,1580.26
40,2,701.57
66,1,452.89
330,1,197.65
30,6,2021.41
1,13,4662.96
67,2,853.39
201,2,962.7
106,1,335.52
17,4,663.5
217,1,185.39999999999998
59,7,717.74
1,1,150.61
16,2,466.7
238,1,328.15999999999997
94,1,151.74
10,6,2067.13
105,6,1900.89
52,9,2208.3
89,1,1070.48
30,5,1001.48
11,6,1777.92
2,4,1839.3
42,1,169.48000000000002
3,1,89.94
246,2,632.4
41,9,3427.85
176,1,683.17
91,3,975.23
109,4,1009.73
28,5,2184.64
25,10,3315.71
51,3,1450.6
183,3,822.0600000000001
42,5,2043.93
48,4,1447.51
21,4,754.12
74,5,3093.86
80,2,490.86
372,1,161.0
325,1,146.85
42,11,2323.5
29,2,890.34
183,1,213.70000000000002
234,2,280.55
8,10,2535.88
219,2,1677.48
110,3,1474.06
277,1,136.76999999999998
317,1,302.58
6,3,1904.05
1,5,2879.7000000000003
259,2,935.0600000000001
63,5,3099.7200000000003
141,1,120.0
50,2,1163.45
7,8,2618.23
154,2,333.97
108,2,530.18
162,3,1279.09
331,1,492.65000000000003
225,1,112.32
73,2,437.96
50,4,559.97
98,3,1019.39
14,3,3892.8
196,1,134.04
30,2,578.45
20,4,1910.01
23,3,4595.81
7,3,156.23000000000002
212,1,413.85
8,6,911.26
10,5,2311.7000000000003
1,11,3873.3
7,9,4839.1900000000005
2,4,1046.56
39,1,166.20000000000002
17,4,1290.48
7,9,3195.81
18,1,43.2
116,1,632.04
222,1,383.45
70,3,1803.76
50,2,2083.42
88,6,2995.72
7,9,2333.98
242,1,229.71
46,6,1611.59
106,1,120.0
44,6,2456.98
64,1,508.58000000000004
206,2,343.11
10,5,1530.75
114,2,574.26
241,1,166.85
162,1,311.65
16,7,4889.14
123,2,462.65999999999997
22,3,840.21
67,1,351.45
16,8,2539.46
15,2,454.86
16,4,1614.91
160,2,554.22
242,1,294.56
218,1,134.7
44,8,2151.08
20,4,628.66
126,8,889.9300000000001
38,1,108.97999999999999
120,2,1021.58
259,1,409.57
9,1,133.5
273,1,262.1
164,1,51.0
156,4,1078.96
214,1,90.6
5,2,163.62
365,1,174.4
79,2,682.24
42,1,225.12
18,3,882.58
31,4,2118.03
21,1,151.5
108,8,3717.35
319,1,155.0
294,1,100.5
357,1,76.55
184,1,235.56
190,2,617.05
43,2,348.1
51,1,202.68
25,1,615.49
37,3,1247.69
8,3,202.11
296,1,142.4
32,3,1727.6
9,8,3172.04
64,2,1012.26
9,9,4588.17
217,1,67.95
1,9,3444.11
64,2,487.99
148,1,559.7
3,13,4039.98
129,4,1426.31
33,6,1409.72
118,1,156.75
106,5,2098.08
10,7,2599.03
70,6,1926.25
91,9,877.28
310,1,1063.0
42,2,761.3299999999999
361,1,121.05
91,7,1485.1299999999999
21,2,490.22
3,3,1937.25
10,6,1051.79
98,1,385.87
56,2,813.11
0,6,4263.64
217,1,265.2
17,1,322.08
23,10,3957.55
49,2,363.34000000000003
6,5,1209.3700000000001
302,1,423.26
9,6,2248.5
21,6,1372.8
98,1,89.06
365,1,63.0
305,1,131.9
319,1,2661.24
7,5,2357.6800000000003
0,4,1670.8400000000001
204,2,1548.87
53,4,1416.45
0,4,1005.55
18,5,1163.23
8,2,375.35
18,4,885.8
180,3,483.25
59,2,643.9
10,2,259.05
189,1,119.93
4,9,3000.8
310,1,113.64
154,1,1837.92
109,3,434.34
147,3,2102.67
65,11,1947.52
97,3,529.62
246,3,1038.44
28,7,2272.4
17,4,596.26
11,2,461.19
103,8,1852.67
73,2,234.34000000000003
45,1,537.71
71,3,809.77
256,1,193.0
19,4,1307.81
253,2,316.25
10,1,279.05
164,2,636.51
17,6,2022.81
281,1,137.1
49,1,321.92
38,1,162.8
26,6,1165.48
67,1,1048.33
206,1,463.38
174,2,340.93
6,5,2362.84
25,1,139.56
50,2,123.8
311,2,538.8100000000001
308,1,457.47
42,5,1957.32
25,3,808.44
87,3,356.85
183,2,198.71
19,11,2309.69
2,6,3543.26
46,4,673.26
16,5,1960.65
23,6,1352.88
21,2,268.05
10,5,1267.4099999999999
187,2,275.28
100,3,438.49
60,3,990.2
17,6,2076.89
32,2,330.45
63,1,174.37
1,2,270.6
23,4,974.54
107,1,241.09
31,9,1843.83
19,9,4150.07
36,1,364.21999999999997
59,3,578.61
25,6,2862.11
235,4,932.85
24,7,1812.6200000000001
59,3,2831.7400000000002
259,1,170.95
57,1,355.56
64,2,388.25
15,2,537.48
9,3,952.66
58,8,1453.35
185,1,103.25
23,2,2004.3
4,5,2528.68
3,8,3953.9500000000003
150,2,652.8
310,1,289.24
10,2,757.37
17,2,186.23
151,1,164.22
18,5,859.27
9,4,2279.4900000000002
56,2,312.54
84,1,0.0
75,3,1080.76
95,4,2923.77
110,1,1432.0
56,2,1524.46
0,1,227.39
280,2,217.21
2,7,2790.34
179,9,1590.12
371,1,35.400000000000006
12,4,859.71
2,1,168.63
16,1,138.6
40,1,114.11
5,5,986.96
168,4,969.26
49,1,157.05
276,1,134.16
18,9,1577.39
371,1,39.75
14,4,1320.21
34,3,557.94
21,3,617.15
6,2,363.33
19,6,1740.6
10,2,866.24
43,1,221.97
305,1,393.33000000000004
10,1,213.96
274,1,660.0
3,4,1785.15
71,4,601.56
242,3,406.08000000000004
8,3,553.44
245,1,379.51
205,2,393.28000000000003
0,5,1765.76
184,1,320.58000000000004
31,5,862.12
56,2,225.85
195,2,892.88
23,4,2757.07
90,2,671.96
3,2,935.46
50,3,1006.98
262,1,114.56
265,1,344.90000000000003
35,2,609.85
50,1,443.6
51,6,2952.34
23,6,2024.45
21,1,110.46
58,1,96.12
169,2,668.61
67,2,813.3100000000001
156,2,597.09
200,1,236.04000000000002
4,4,1402.59
66,2,653.75
76,1,114.18
0,7,1916.7
7,4,1930.15
168,2,291.05
17,4,838.27
4,2,247.15
8,9,2486.28
86,2,285.74
26,1,107.95
28,4,741.37
19,2,636.24
60,5,1258.38
23,1,179.95
241,3,1259.24
279,2,392.86
234,2,765.55
